Código;Município;URS;Micro;Macro;População;CODMICRO;CODMACRO;Carimbo de data/hora;Total acumulado de doses de vacina aplicadas (PRIMEIRA DOSE - D1);Total acumulado de doses de vacina aplicadas (SEGUNDA DOSE - D2);Total acumulado de doses de vacina aplicadas (DOSE ÚNICA - DU);Total acumulado de doses de vacina aplicadas (PRIMEIRA Dose de REFORÇO);Total acumulado de doses de vacina aplicadas (SEGUNDA Dose de REFORÇO);Total acumulado de doses de vacinas PEDIÁTRICAS aplicadas (PRIMEIRA DOSE - D1);Total acumulado de doses de vacinas PEDIÁTRICAS aplicadas (SEGUNDA DOSE - D2)
312380;Engenheiro Navarro;Montes Claros;BOCAIÚVA;NORTE;7.477;31083;3108;03/05/2022 10:45;6.056;6.055;140;2.352;63;408;47
312385;Entre Folhas;Coronel Fabriciano;CARATINGA;VALE DO AÇO;5.520;31034;3114;03/05/2022 07:47;4.728;4.599;94;2.328;178;306;259
312390;Entre Rios de Minas;São João Del Rei;CONGONHAS;CENTRO SUL;15.415;31078;3102;13/04/2022 10:42;13.581;13.007;203;8.543;428;1.007;593
312400;Ervália;Ubá;UBÁ;SUDESTE;19.263;31048;3107;28/04/2022 11:43;16.776;15.918;700;9.435;234;1.331;624
312410;Esmeraldas;Belo Horizonte;BETIM;CENTRO;72.222;31017;3103;29/04/2022 11:04;59.354;57.006;970;25.750;573;5.798;2.896
312420;Espera Feliz;Manhuaçu;CARANGOLA;SUDESTE;25.260;31042;3107;03/05/2022 07:55;21.370;20.053;338;12.117;559;1.474;1.052
312430;Espinosa;Montes Claros;JANAÚBA/MONTE AZUL;NORTE;32.100;31052;3108;28/04/2022 11:19;24.946;21.489;411;10.967;620;1.916;1.083
312440;Espírito Santo do Dourado;Pouso Alegre;POUSO ALEGRE;SUL;4.781;31007;3101;26/04/2022 07:14;5.626;4.495;47;2.930;77;430;172
312450;Estiva;Pouso Alegre;POUSO ALEGRE;SUL;11.463;31.007;3101;03/05/2022 09:05;10.374;9.844;173;6.291;530;764;526
312460;Estrela Dalva;Leopoldina;ALÉM PARAÍBA;SUDESTE;2.412;31041;3107;03/05/2022 11:58;2.326;1.834;55;955;2;150;30
312470;Estrela do Indaiá;Divinópolis;BOM DESPACHO;OESTE;3.504;31028;3105;29/04/2022 10:03;2.607;2.496;55;1.879;198;167;137
312480;Estrela do Sul;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;7.946;31074;3113;03/05/2022 10:40;6.247;5.930;137;3.719;373;493;347
312490;Eugenópolis;Ubá;MURIAÉ;SUDESTE;11.220;31045;3107;14/04/2022 08:59;8.493;8.163;348;4.603;57;478;140
312500;Ewbank da Câmara;Juiz de Fora;JUIZ DE FORA;SUDESTE;3.992;31097;3107;02/05/2022 11:38;3.298;3.299;74;2.089;84;308;299
312510;Extrema;Pouso Alegre;POUSO ALEGRE;SUL;36.219;31007;3101;02/05/2022 17:30;45.139;41.162;1.444;25.761;715;3.692;2.246
312520;Fama;Alfenas;ALFENAS/MACHADO;SUL;2.424;31.001;3101;26/04/2022 08:42;2.200;1.860;62;1.050;200;170;59
312530;Faria Lemos;Manhuaçu;CARANGOLA;SUDESTE;3.270;31042;3107;03/05/2022 08:32;2.732;2.633;51;1.788;140;240;158
312540;Felício dos Santos;Diamantina;DIAMANTINA;JEQUITINHONHA;4.860;31026;3104;03/05/2022 10:05;4.465;4.332;72;3.015;5;424;206
312550;São Gonçalo do Rio Preto;Diamantina;DIAMANTINA;JEQUITINHONHA;3.250;31026;3104;10/04/2022 08:18;3.016;2.832;60;1.834;0;261;87
312560;Felisburgo;Pedra Azul;ALMENARA/JACINTO;NORDESTE;7.594;31094;3111;29/04/2022 10:24;5.466;4.927;99;2.910;274;573;319
312570;Felixlândia;Sete Lagoas;CURVELO;CENTRO;15.285;31019;3103;19/04/2022 16:07;12.500;11.517;195;8.032;583;1.046;439
312580;Fernandes Tourinho;Governador Valadares;GOVERNADOR VALADARES;LESTE;3.491;31036;3106;03/05/2022 10:07;2.596;2.279;52;1.109;67;138;65
312590;Ferros;Itabira;ITABIRA;CENTRO;10.049;31021;3103;29/04/2022 10:37;8.548;7.763;185;5.538;934;730;325
312595;Fervedouro;Manhuaçu;CARANGOLA;SUDESTE;11.123;31042;3107;03/05/2022 10:25;8.877;7.611;159;4.331;0;506;56
312600;Florestal;Belo Horizonte;BETIM;CENTRO;7.593;31017;3103;29/04/2022 12:56;5.847;5.495;136;3.673;345;382;287
312610;Formiga;Divinópolis;FORMIGA;OESTE;68.962;31.030;3105;02/05/2022 11:35;61.152;57.187;2.135;37.043;2.271;3.714;1.945
312620;Formoso;Unaí;UNAÍ;NOROESTE;9.732;31058;3109;28/04/2022 08:18;5.904;5.586;111;2.522;87;561;178
312630;Fortaleza de Minas;Passos;PASSOS;SUL;4.493;31092;3101;03/05/2022 11:59;3.071;3.010;65;2.142;190;234;158
312640;Fortuna de Minas;Sete Lagoas;SETE LAGOAS;CENTRO;3.001;31024;3103;03/05/2022 07:05;2.784;2.526;43;1.946;177;246;246
312650;Francisco Badaró;Diamantina;ARAÇUAÍ;JEQUITINHONHA;10.557;31064;3104;29/04/2022 11:31;6.186;5.690;95;4.367;94;414;136
312660;Francisco Dumont;Montes Claros;BOCAIÚVA;NORTE;5.309;31083;3108;28/04/2022 10:29;3.695;3.406;116;1.736;47;369;223
312670;Francisco Sá;Montes Claros;FRANCISCO SÁ;NORTE;26.764;31051;3108;02/05/2022 15:25;17.070;16.232;1.145;8.902;133;1.529;787
312675;Franciscópolis;Teófilo Otoni;TEÓFILO OTONI/MALACACHETA;NORDESTE;5.614;31099;3111;03/05/2022 07:15;4.381;4.089;85;1.966;151;277;173
312680;Frei Gaspar;Teófilo Otoni;ITAMBACURI;NORDESTE;5.897;31096;3111;26/04/2022 14:11;4.458;4.313;65;1.530;0;347;151
312690;Frei Inocêncio;Governador Valadares;GOVERNADOR VALADARES;LESTE;9.561;31036;3106;03/05/2022 09:52;7.033;5.522;115;2.967;254;478;174
312695;Frei Lagonegro;Governador Valadares;PEÇANHA/SÃO JOÃO EVANGELISTA;LESTE;3.488;31080;3106;03/05/2022 08:14;3.317;3.279;105;2.401;196;301;282
312700;Fronteira;Uberaba;FRUTAL/ITURAMA;TRIÂNGULO DO SUL;18.290;31071;3112;03/05/2022 08:48;12.496;11.166;192;6.340;255;967;472
312705;Fronteira dos Vales;Teófilo Otoni;ÁGUAS FORMOSAS;NORDESTE;4.682;31.062;3111;28/04/2022 16:31;3.689;3.457;80;2.114;232;322;185
312707;Fruta de Leite;Montes Claros;SALINAS;NORTE;5.727;31.098;3108;30/04/2022 23:03;3.784;3.329;85;2.100;84;383;250
312710;Frutal;Uberaba;FRUTAL/ITURAMA;TRIÂNGULO DO SUL;58.689;31071;3112;03/05/2022 11:00;50.107;45.428;1.233;26.493;2.002;3.498;1.492
312720;Funilândia;Sete Lagoas;SETE LAGOAS;CENTRO;4.428;31024;3103;02/05/2022 07:52;4.147;3.940;50;2.122;207;383;283
312730;Galiléia;Governador Valadares;GOVERNADOR VALADARES;LESTE;6.952;31036;3106;02/05/2022 08:59;4.945;3.983;89;2.056;233;247;35
312733;Gameleiras;Montes Claros;JANAÚBA/MONTE AZUL;NORTE;5.189;31052;3108;02/05/2022 10:23;4.536;4.025;185;2.285;88;388;188
312735;Glaucilândia;Montes Claros;MONTES CLAROS;NORTE;3.210;31084;3108;27/04/2022 16:09;2.744;2.616;60;1.611;106;224;169
312737;Goiabeira;Governador Valadares;RESPLENDOR;LESTE;3.416;31040;3106;03/05/2022 11:36;2.485;2.167;47;1.203;30;121;62
312738;Goianá;Juiz de Fora;JUIZ DE FORA;SUDESTE;4.038;31.097;3107;02/05/2022 08:25;3.813;3.545;71;2.303;265;266;196
312740;Gonçalves;Pouso Alegre;ITAJUBÁ;SUL;4.414;31003;3101;03/05/2022 12:55;3.704;3.700;67;2.813;174;322;257
312750;Gonzaga;Governador Valadares;GOVERNADOR VALADARES;LESTE;6.181;31036;3106;03/05/2022 06:39;4.217;4.039;204;2.038;38;413;214
312760;Gouveia;Diamantina;DIAMANTINA;JEQUITINHONHA;12.063;31026;3104;27/04/2022 09:30;9.522;8.787;191;6.263;29;969;231
312770;Governador Valadares;Governador Valadares;GOVERNADOR VALADARES;LESTE;285.000;31036;3106;03/05/2022 07:25;218.983;187.653;9.457;94.806;5.242;9.930;3.632
312780;Grão Mogol;Montes Claros;FRANCISCO SÁ;NORTE;15.944;31051;3108;29/04/2022 15:27;11.307;11.307;195;8.500;350;950;250
312790;Grupiara;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;1.417;31.074;3113;03/05/2022 09:05;1.241;1.229;50;960;132;76;49
312800;Guanhães;Itabira;GUANHÃES;CENTRO;34.790;31020;3103;03/05/2022 08:49;26.231;25.865;981;19.590;1.610;2.386;1.617
312810;Guapé;Passos;PIUMHI;SUL;14.406;31093;3101;03/05/2022 11:03;11.368;10.659;188;6.752;536;864;505
312820;Guaraciaba;Ponte Nova;PONTE NOVA;LESTE DO SUL;10.527;31060;3110;02/04/2022 15:29;8.621;7.961;132;5.631;0;474;99
312825;Guaraciama;Montes Claros;BOCAIÚVA;NORTE;5.022;31083;3108;20/04/2022 10:46;4.310;4.207;97;3.025;122;433;243
312830;Guaranésia;Alfenas;GUAXUPÉ;SUL;19.597;31.002;3101;26/04/2022 13:36;17.366;15.169;857;9.861;472;1.229;588
312840;Guarani;Ubá;UBÁ;SUDESTE;9.090;31048;3107;12/04/2022 10:48;6.346;5.494;142;3.378;287;596;324
312850;Guarará;Juiz de Fora;SÃO JOÃO NEPOMUCENO/BICAS;SUDESTE;3.878;31047;3107;25/04/2022 09:25;3.152;3.105;65;2.431;158;291;204
312860;Guarda-Mor;Patos de Minas;PATOS DE MINAS;NOROESTE;6.632;31.057;3109;29/04/2022 11:04;6.107;5.898;133;4.071;89;532;346
312870;Guaxupé;Alfenas;GUAXUPÉ;SUL;52.888;31002;3101;03/05/2022 08:02;40.693;38.935;1.601;26.684;1.515;3.292;2.306
312880;Guidoval;Ubá;UBÁ;SUDESTE;7.157;31048;3107;03/05/2022 09:51;6.181;5.729;170;2.967;99;340;147
312890;Guimarânia;Patos de Minas;PATOS DE MINAS;NOROESTE;7.918;31057;3109;03/05/2022 06:57;6.269;6.223;215;4.612;476;627;476
312900;Guiricema;Ubá;UBÁ;SUDESTE;8.654;31048;3107;29/04/2022 11:52;6.832;6.672;135;4.459;310;450;314
312910;Gurinhatã;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;5.922;31073;3113;03/05/2022 10:26;5.029;4.223;88;2.314;52;288;163
312920;Heliodora;Pouso Alegre;POUSO ALEGRE;SUL;6.678;31007;3101;27/04/2022 07:53;5.110;4.632;105;3.808;213;440;307
312930;Iapu;Coronel Fabriciano;IPATINGA;VALE DO AÇO;11.110;31037;3114;02/05/2022 09:02;8.273;8.114;150;4.761;468;644;509
312940;Ibertioga;Barbacena;BARBACENA;CENTRO SUL;5.100;31013;3102;02/05/2022 09:59;4.306;4.343;70;2.904;290;413;271
312950;Ibiá;Uberaba;ARAXÁ;TRIÂNGULO DO SUL;25.215;31.070;3112;03/05/2022 10:32;20.088;18.578;412;10.925;914;1.616;1.055
312960;Ibiaí;Pirapora;PIRAPORA;NORTE;8.422;31055;3108;03/05/2022 08:28;5.430;5.179;158;3.011;79;700;367
312965;Ibiracatu;Januária;Brasília de Minas/S. Francisco;NORTE;6.117;31049;3108;29/04/2022 11:15;4.395;4.091;57;1.633;0;433;56
312970;Ibiraci;Passos;CÁSSIA;SUL;14.083;31091;3101;03/05/2022 09:30;9.252;8.943;180;4.656;368;822;480
312980;Ibirité;Belo Horizonte;CONTAGEM;CENTRO;181.337;31018;3103;02/05/2022 09:53;133.884;122.324;4.302;50.877;1.316;11.503;5.015
312990;Ibitiúra de Minas;Pouso Alegre;POÇOS DE CALDAS;SUL;3.534;31006;3101;03/05/2022 08:19;3.070;2.969;35;1.571;76;185;103
313000;Ibituruna;São João Del Rei;SÃO JOÃO DEL REI;CENTRO SUL;2.997;31015;3102;02/05/2022 14:11;2.554;2.465;60;1.876;211;241;185
313005;Icaraí de Minas;Januária;Brasília de Minas/S. Francisco;NORTE;12.208;31049;3108;26/04/2022 10:43;7.875;7.301;96;4.147;5;778;473
313010;Igarapé;Belo Horizonte;BETIM;CENTRO;43.349;31017;3103;03/05/2022 08:11;38.257;34.165;411;24.680;1.035;3.743;2.001
313020;Igaratinga;Divinópolis;PARÁ DE MINAS;OESTE;11.051;31032;3105;25/04/2022 12:12;9.392;8.274;501;3.952;856;647;308
313030;Iguatama;Divinópolis;FORMIGA;OESTE;8.105;31030;3105;03/05/2022 10:28;6.134;5.590;225;4.130;218;528;249
313040;Ijaci;Varginha;LAVRAS;SUL;6.460;31004;3101;22/04/2022 17:29;5.890;5.702;143;3.446;110;555;370
313050;Ilicínea;Varginha;TRÊS PONTAS;SUL;12.556;31011;3101;28/04/2022 15:15;11.380;10.772;175;6.527;255;939;626
313055;Imbé de Minas;Coronel Fabriciano;CARATINGA;VALE DO AÇO;6.862;31034;3114;03/05/2022 11:46;4.920;4.489;110;2.037;114;485;293
313060;Inconfidentes;Pouso Alegre;POUSO ALEGRE;SUL;7.474;31.007;3101;13/04/2022 13:18;6.493;6.276;130;4.662;160;491;282
313065;Indaiabira;Montes Claros;TAIOBEIRAS;NORTE;7.418;31085;3108;22/03/2022 11:50;5.405;4.931;101;1.577;0;330;0
313070;Indianópolis;Uberlândia;UBERLÂNDIA/ARAGUARI;TRIÂNGULO DO NORTE;6.899;31075;3113;02/05/2022 08:07;5.036;5.090;141;3.407;148;514;339
313080;Ingaí;Varginha;LAVRAS;SUL;2.799;31004;3101;28/04/2022 12:32;2.735;2.440;62;1.758;148;190;177
313090;Inhapim;Coronel Fabriciano;CARATINGA;VALE DO AÇO;24.594;31034;3114;02/05/2022 11:31;19.513;17.690;679;9.332;862;1.137;643
313100;Inhaúma;Sete Lagoas;SETE LAGOAS;CENTRO;6.261;31024;3103;20/04/2022 10:09;4.963;4.850;104;3.650;25;473;250
313110;Inimutaba;Sete Lagoas;CURVELO;CENTRO;7.650;31019;3103;29/04/2022 16:49;5.769;5.587;120;3.786;255;532;207
313115;Ipaba;Coronel Fabriciano;IPATINGA;VALE DO AÇO;18.650;31037;3114;26/04/2022 10:53;12.367;11.729;1.294;7.765;30;771;365
313120;Ipanema;Manhuaçu;MANHUAÇU;LESTE DO SUL;20.222;31059;3110;28/04/2022 08:29;15.566;14.134;265;7.945;82;916;375
313130;Ipatinga;Coronel Fabriciano;IPATINGA;VALE DO AÇO;262.830;31037;3114;03/05/2022 07:27;203.518;180.301;4.623;89.176;5.997;11.288;5.206
313140;Ipiaçu;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;4.279;31073;3113;03/05/2022 08:36;3.517;3.325;50;2.130;363;257;103
313150;Ipuiúna;Pouso Alegre;POUSO ALEGRE;SUL;10.258;31.007;3101;03/05/2022 08:47;7.196;7.498;294;5.163;267;555;449
313160;Iraí de Minas;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;7.011;31074;3113;26/04/2022 07:58;5.390;5.376;126;2.373;131;366;204
313170;Itabira;Itabira;ITABIRA;CENTRO;120.397;31021;3103;26/04/2022 10:43;91.085;75.915;2.733;58.052;1.680;8.215;2.672
313180;Itabirinha;Governador Valadares;MANTENA;LESTE;11.559;31038;3106;03/05/2022 08:23;8.766;8.193;310;4.431;0;488;87
313190;Itabirito;Belo Horizonte;OURO PRETO;CENTRO;50.510;31022;3103;03/05/2022 09:40;46.735;44.001;1.243;31.635;1.599;3.826;2.349
313200;Itacambira;Montes Claros;MONTES CLAROS;NORTE;5.486;31084;3108;03/05/2022 10:24;3.266;3.079;55;1.985;23;324;203
313210;Itacarambi;Januária;JANUÁRIA;NORTE;18.446;31053;3108;03/05/2022 08:13;11.980;10.979;295;4.898;93;1.022;498
313220;Itaguara;Divinópolis;ITAÚNA;OESTE;13.464;31031;3105;03/05/2022 10:37;13.001;11.802;346;7.906;412;1050;1010
313230;Itaipé;Teófilo Otoni;PADRE PARAÍSO;NORDESTE;12.992;31067;3111;03/05/2022 00:23;8.761;7.140;107;3.300;70;874;360
313240;Itajubá;Pouso Alegre;ITAJUBÁ;SUL;97.086;31.003;3101;02/05/2022 11:01;78.354;74.954;2.414;46.263;4.247;4.669;2.463
313250;Itamarandiba;Diamantina;DIAMANTINA;JEQUITINHONHA;34.701;31026;3104;11/04/2022 15:39;29.066;26.956;762;12.175;0;2.589;900
313260;Itamarati de Minas;Leopoldina;LEOPOLDINA/CATAGUASES;SUDESTE;4.436;31044;3107;26/04/2022 07:59;3.610;3.599;65;1.687;26;306;71
313270;Itambacuri;Teófilo Otoni;ITAMBACURI;NORDESTE;23.659;31096;3111;25/04/2022 12:08;16.801;14.593;503;7.954;94;1.510;527
313280;Itambé do Mato Dentro;Itabira;ITABIRA;CENTRO;2.204;31021;3103;29/03/2022 09:47;2.125;1.791;50;1.317;0;135;26
313290;Itamogi;Passos;SÃO SEBASTIÃO DO PARAÍSO;SUL;10.398;31009;3101;02/05/2022 14:51;8.861;8.628;176;5.948;376;693;680
313300;Itamonte;Varginha;SÃO LOURENÇO;SUL;15.860;31.008;3101;29/04/2022 10:33;12.806;11.814;375;6.024;345;751;441
313310;Itanhandu;Varginha;SÃO LOURENÇO;SUL;15.498;31008;3101;03/05/2022 09:16;12.288;12.008;314;7.827;598;1.032;749
313320;Itanhomi;Governador Valadares;GOVERNADOR VALADARES;LESTE;12.460;31036;3106;02/05/2022 13:47;8.379;8.120;220;4.251;207;567;272
313330;Itaobim;Pedra Azul;ITAOBIM;NORDESTE;21.491;31065;3111;02/05/2022 16:13;15.509;14.283;555;6.507;373;1.160;365
313340;Itapagipe;Uberaba;FRUTAL/ITURAMA;TRIÂNGULO DO SUL;15.516;31071;3112;03/05/2022 07:54;11.673;9.959;1.239;5.782;534;785;410
313350;Itapecerica;Divinópolis;DIVINÓPOLIS;OESTE;22.004;31086;3105;25/04/2022 14:45;21.500;21.397;290;13.713;631;1.319;1.103
313360;Itapeva;Pouso Alegre;POUSO ALEGRE;SUL;9.958;31007;3101;30/04/2022 15:56;10.621;8.802;255;4.409;154;754;281
313370;Itatiaiuçu;Divinópolis;ITAÚNA;OESTE;10.972;31031;3105;20/04/2022 17:00;11.558;10.433;600;5.732;100;1.000;312
313375;Itaú de Minas;Passos;PASSOS;SUL;16.239;31092;3101;29/04/2022 09:00;12.426;11.901;235;7.169;454;931;342
313380;Itaúna;Divinópolis;ITAÚNA;OESTE;93.403;31031;3105;29/04/2022 10:43;81.691;71.759;2.149;34.274;1.505;4.925;1.524
313390;Itaverava;Barbacena;CONSELHEIRO LAFAIETE;CENTRO SUL;5.692;31079;3102;02/05/2022 09:29;4.900;4.400;70;4.021;600;365;330
313400;Itinga;Pedra Azul;ITAOBIM;NORDESTE;15.273;31065;3111;28/04/2022 10:36;11.543;10.317;139;7.162;299;1.178;704
313410;Itueta;Governador Valadares;RESPLENDOR;LESTE;6.165;31040;3106;03/05/2022 10:36;4.580;4.259;168;2.564;204;299;157
313420;Ituiutaba;Ituiutaba;ITUIUTABA;TRIÂNGULO DO NORTE;104.898;31073;3113;03/05/2022 07:38;81.038;76.732;2.478;44.631;768;5.340;1.864
313430;Itumirim;Varginha;LAVRAS;SUL;6.207;31004;3101;30/03/2022 10:52;5.155;4.690;100;2.575;0;320;110
313440;Iturama;Uberaba;FRUTAL/ITURAMA;TRIÂNGULO DO SUL;38.221;31071;3112;03/05/2022 09:36;32.497;29.322;785;16.529;994;2.165;833
313450;Itutinga;Varginha;LAVRAS;SUL;3.935;31004;3101;03/05/2022 11:32;4.007;3.723;189;2.769;294;321;286
313460;Jaboticatubas;Belo Horizonte;BELO HORIZONTE/NOVA LIMA/CAETÉ;CENTRO;20.500;31016;3103;03/05/2022 10:48;15.337;14.660;515;8.013;9;1.240;21
313470;Jacinto;Pedra Azul;ALMENARA/JACINTO;NORDESTE;12.566;31094;3111;03/05/2022 10:36;8.560;8.251;325;4.700;182;723;334
313480;Jacuí;Passos;SÃO SEBASTIÃO DO PARAÍSO;SUL;7.793;31009;3101;03/05/2022 11:00;6.330;6.337;124;3.583;182;522;308
313490;Jacutinga;Pouso Alegre;POUSO ALEGRE;SUL;26.442;31007;3101;29/04/2022 08:21;19.983;19.497;606;11.900;781;1.572;825
313500;Jaguaraçu;Coronel Fabriciano;CORONEL FABRICIANO/TIMÓTEO;VALE DO AÇO;3.169;31035;3114;02/05/2022 08:41;2.735;2.456;65;1.228;129;148;86
313505;Jaíba;Montes Claros;JANAÚBA/MONTE AZUL;NORTE;38.474;31052;3108;25/04/2022 10:11;26.927;22.601;290;8.388;45;2.418;385
